分类号,书名,作者,ISBN,定价
A1,马克思主义基本原理,编写组,9787040543179,32.00
A41,毛泽东选集（第二卷）,毛泽东,9787010009146,48.00
B0,哲学导论,张世英,9787301299169,48.00
B82,伦理学导论,程炼,9787301287036,42.00
B94,金刚经说什么,南怀瑾,9787309112345,35.00
C8,统计学（第七版）,贾俊平,9787300280961,49.00
C93,管理学（第十三版）,斯蒂芬·罗宾斯,9787300285485,79.00
D0,政治学概论,编写组,9787040543180,45.00
D92,民法学（第九版）,王利明,9787300280954,88.00
F0,经济学原理（第八版）,曼昆,9787301289440,98.00
F23,基础会计（第七版）,陈国辉,9787300280398,45.00
G25,图书馆学概论,吴慰慈,9787501362737,38.00
G64,高等教育学,潘懋元,9787107200324,39.80
H1,现代汉语（增订六版）,黄伯荣,9787040558098,45.80
H31,新概念英语2,亚历山大,9787560023689,38.90
I247,活着,余华,9787530221532,45.00
J2,中国绘画史,王伯敏,9787102033433,68.00
J9,电影艺术：形式与风格,大卫·波德维尔,9787550234545,128.00
K2,史记（点校本）,司马迁,9787101003048,286.00
O13,高等数学（第七版）,同济大学数学系,9787040545179,46.60
O4,大学物理（第三版）,张三慧,9787302279445,55.00
O6,无机化学（第四版）,宋天佑,9787040475920,65.00
P5,地质学基础（第五版）,宋春青,9787040397116,49.80
Q7,分子生物学（第五版）,朱玉贤,9787040560741,88.00
R1,预防医学（第七版）,傅华,9787117280945,68.00
R96,药理学（第九版）,杨宝峰,9787117323512,99.00
S6,园艺植物栽培学（第三版）,范双喜,9787565524797,52.00
TB,工程材料,杨瑞成,9787112145637,39.00
TG,金属工艺学,邓文英,9787040538236,42.00
TH122,机械设计基础（第七版）,杨可桢,9787040538229,56.80
TM,电工学（第七版）,秦曾煌,9787040545551,49.80
TN,通信原理（第七版）,樊昌信,9787115546075,59.00
TP311,Python编程从入门到实践（第3版）,埃里克·马瑟斯,9787115546081,89.80
TP312,Java核心技术（原书第12版）,霍斯特曼,9787111641267,149.00
TQ,化工原理（第四版）,王志魁,9787122136402,55.00
TS,服装材料学,朱松文,9787564003347,45.00
U412,道路勘测设计（第五版）,杨少伟,9787114164521,58.00
V2,航空航天概论（第五版）,昂海松,9787030641177,68.00
X5,环境工程原理（第三版）,胡洪营,9787040531559,59.00
B2,中国哲学简史,冯友兰,9787108002044,38.00
C91,社会学概论（第二版）,编写组,9787040556193,49.00
F7,市场营销学（第七版）,吴健安,9787300282507,55.00
G12,中国文化概论,张岱年,9787101003994,48.00
H36,新编日语（重排本）,周平,9787544629126,45.00
I0,文学理论教程（第五版）,童庆炳,9787040411661,39.80
J6,西方音乐史,于润洋,9787103010339,78.00
K82,苏东坡传,林语堂,9787544252951,52.00
P2,测绘学概论（第三版）,宁津生,9787305067281,32.00
S8,畜牧学概论,李建国,9787109134507,39.00
Z2,辞海（第七版缩印本）,辞海编辑委员会,9787532644572,658.00
